Id,Label,度
天然,天然,67
磷酸酶,磷酸酶,2
维生素,维生素,23
中位数,中位数,3
双盲试验,双盲试验,2
胆红素,胆红素,2
成分,成分,63
碱性,碱性,12
对照试验,对照试验,4
酸奶,酸奶,6
剂量,剂量,37
胆固醇,胆固醇,14
营养,营养,62
乙醇,乙醇,19
水晶,水晶,3
瓷器,瓷器,1
水,水,94
矿物,矿物,10
合成,合成,49
含量,含量,77
实验设计,实验设计,6
维生素B9,维生素B9,4
氧化,氧化,18
分子,分子,54
脂溶性,脂溶性,7
蛋白质,蛋白质,58
微量元素,微量元素,3
DNA,DNA,50
族,族,8
叶黄素,叶黄素,4
双螺旋,双螺旋,10
营养物质,营养物质,13
胡萝卜素,胡萝卜素,11
维生素B12,维生素B12,3
甲基化,甲基化,5
鲍林,鲍林,3
抗氧化,抗氧化,7
维生素E,维生素E,7
维生素D,维生素D,4
维生素C,维生素C,14
维生素A,维生素A,3
铀,铀,6
原子弹,原子弹,14
花岗岩,花岗岩,1
化学键,化学键,6
镭,镭,3
核素,核素,1
钍,钍,3
天然放射性,天然放射性,2
辐射剂量,辐射剂量,3
氡气,氡气,2
铅,铅,11
能量,能量,86
微粒,微粒,10
胰岛素,胰岛素,12
糖,糖,41
制备,制备,11
镉,镉,8
葡糖苷,葡糖苷,2
生物碱,生物碱,7
凝集素,凝集素,2
盐,盐,22
抗生素抗性,抗生素抗性,2
熔炉,熔炉,5
连锁反应,连锁反应,2
石灰石,石灰石,1
温室气体,温室气体,8
锌,锌,10
水循环,水循环,4
水分,水分,25
精度,精度,14
碳酸盐,碳酸盐,3
石油,石油,9
氢,氢,16
能源,能源,20
化学,化学,66
化石燃料,化石燃料,7
温室效应,温室效应,6
碳,碳,23
热效应,热效应,5
动力学,动力学,10
热吸收,热吸收,1
热量,热量,39
金,金,30
波长,波长,13
煤,煤,2
脱水,脱水,9
二氧化碳,二氧化碳,32
地球化学,地球化学,3
天然气,天然气,6
红外,红外,6
分解,分解,38
硅酸盐,硅酸盐,3
锂,锂,3
氢离子,氢离子,6
电子,电子,25
加热,加热,46
催化,催化,9
燃料,燃料,22
空间结构,空间结构,2
核燃料,核燃料,5
材料科学,材料科学,1
原子核,原子核,9
质子,质子,14
离子化,离子化,1
固体,固体,15
炸药,炸药,4
核聚变,核聚变,11
核反应,核反应,7
原子,原子,29
正电荷,正电荷,6
中性,中性,8
粒子,粒子,25
宝石,宝石,1
相对速度,相对速度,4
气体,气体,39
暗物质,暗物质,7
过滤,过滤,11
漏斗,漏斗,4
核子,核子,6
激素,激素,25
微克,微克,6
性激素,性激素,6
异黄酮,异黄酮,4
抗生素,抗生素,51
多巴胺,多巴胺,7
雌激素,雌激素,10
克伦特罗,克伦特罗,1
双酚A,双酚A,2
植物激素,植物激素,2
物理性质,物理性质,5
花青素,花青素,1
光合作用,光合作用,16
叶绿体,叶绿体,3
再吸收,再吸收,3
叶绿素,叶绿素,8
矿物质,矿物质,19
色素,色素,16
转运蛋白,转运蛋白,4
放电,放电,5
内啡肽,内啡肽,2
羟色胺,羟色胺,4
谷氨酸,谷氨酸,4
动作电位,动作电位,3
细胞膜,细胞膜,18
神经递质,神经递质,9
膜电位,膜电位,1
极化,极化,4
激酶,激酶,2
RNA,RNA,15
特异性,特异性,18
化学物质,化学物质,28
茄碱,茄碱,1
氧气,氧气,33
肥皂泡,肥皂泡,1
氧,氧,15
纳米,纳米,12
耗氧量,耗氧量,5
不锈钢,不锈钢,3
碳循环,碳循环,3
降解,降解,12
液体,液体,29
镍铁,镍铁,1
玻璃,玻璃,18
塑料,塑料,18
水泥,水泥,9
臭氧,臭氧,5
甲烷,甲烷,11
热膨胀,热膨胀,2
海水,海水,22
化学平衡,化学平衡,1
断层扫描,断层扫描,1
黏合剂,黏合剂,2
钠离子,钠离子,5
大分子,大分子,9
核磁矩,核磁矩,1
中子,中子,7
陶瓷,陶瓷,4
氟,氟,3
滤网,滤网,1
氯,氯,4
氮,氮,8
化学反应,化学反应,11
丰度,丰度,2
锶,锶,1
饱和性,饱和性,1
氢键,氢键,1
气态,气态,7
气相,气相,2
方向性,方向性,4
矿石,矿石,6
微观状态,微观状态,1
解离,解离,1
阿斯巴甜,阿斯巴甜,1
同位素,同位素,8
半径比,半径比,2
红丹,红丹,1
明胶,明胶,3
阴离子,阴离子,3
杂质,杂质,5
离子浓度,离子浓度,2
阳离子,阳离子,5
高分子,高分子,1
钾,钾,14
氦,氦,8
比表面积,比表面积,2
砝码,砝码,2
钻石,钻石,4
熔融,熔融,8
太阳辐射,太阳辐射,4
气溶胶,气溶胶,3
燃烧,燃烧,31
热容,热容,1
氮氧化物,氮氧化物,1
回流,回流,4
火山灰,火山灰,1
沥青,沥青,4
活化,活化,3
结合蛋白,结合蛋白,4
组分,组分,6
培养皿,培养皿,7
溶酶体,溶酶体,1
拓扑异构酶,拓扑异构酶,1
蛋白酶体,蛋白酶体,1
突触蛋白,突触蛋白,1
酶,酶,36
化学家,化学家,19
氨基酸残基,氨基酸残基,2
石膏,石膏,4
植物纤维,植物纤维,2
淀粉,淀粉,20
矿泉水,矿泉水,2
亚硝酸盐,亚硝酸盐,4
肥料,肥料,6
咖啡因,咖啡因,12
脂肪酸,脂肪酸,7
二倍体,二倍体,2
脂肪,脂肪,38
拉德,拉德,1
半衰期,半衰期,7
塑料颗粒,塑料颗粒,1
水蒸汽,水蒸汽,3
二氧化硅,二氧化硅,4
甲藻,甲藻,3
晶体,晶体,8
荧光,荧光,9
核苷酸,核苷酸,2
脱氢酶,脱氢酶,3
能量代谢,能量代谢,4
碱基,碱基,6
指示剂,指示剂,1
转录,转录,8
阻断剂,阻断剂,15
过敏反应,过敏反应,13
腺苷,腺苷,1
放射性,放射性,12
气压计,气压计,1
基本粒子,基本粒子,10
醋,醋,7
粘度,粘度,4
柠檬酸循环,柠檬酸循环,4
凝集,凝集,3
液态,液态,9
香豆素,香豆素,3
辅因子,辅因子,1
羧化,羧化,1
纤维蛋白,纤维蛋白,1
凝血因子,凝血因子,2
抗凝作用,抗凝作用,1
胶冻,胶冻,2
提纯,提纯,6
营养素,营养素,7
维生素K1,维生素K1,1
维生素K,维生素K,3
纤维素,纤维素,11
化学药品,化学药品,2
酸碱性,酸碱性,5
汽油,汽油,8
当量,当量,7
化工原料,化工原料,1
化肥,化肥,6
中间体,中间体,3
二聚体,二聚体,1
三聚体,三聚体,1
硝酸盐,硝酸盐,3
空间速度,空间速度,1
PH,PH,6
爱因斯坦,爱因斯坦,19
化学工业,化学工业,2
大理石,大理石,1
核磁共振成像,核磁共振成像,5
催产素,催产素,3
熔岩,熔岩,6
定量分析,定量分析,2
岩浆,岩浆,9
酸,酸,16
阴极射线,阴极射线,1
反应速度,反应速度,3
细纤维,细纤维,1
钠,钠,10
转移酶,转移酶,1
钾离子,钾离子,8
棕榈酸,棕榈酸,2
谷胱甘肽,谷胱甘肽,1
聚碳酸酯,聚碳酸酯,1
副产物,副产物,13
碳平衡,碳平衡,1
废水,废水,4
恒温器,恒温器,1
木炭,木炭,3
热解,热解,2
柴油,柴油,2
磷,磷,8
催化剂,催化剂,8
液体燃料,液体燃料,2
气流,气流,7
甲醛,甲醛,5
螺旋体,螺旋体,2
白蛋白,白蛋白,2
铁,铁,14
化学组成,化学组成,5
等价,等价,11
化学成分,化学成分,14
添加物,添加物,3
量子,量子,20
衍生物,衍生物,6
试管,试管,8
软木塞,软木塞,1
红血球,红血球,2
类蛋白质,类蛋白质,2
化学渗透,化学渗透,3
铜,铜,9
分析法,分析法,2
共显性,共显性,1
酪氨酸,酪氨酸,2
离子平衡,离子平衡,1
沉淀,沉淀,6
相互作用,相互作用,26
配子,配子,2
白糖,白糖,1
己酸乙酯,己酸乙酯,1
香兰素,香兰素,2
甲醇,甲醇,5
酿造,酿造,2
葡萄糖,葡萄糖,13
硫化氢,硫化氢,2
乙烯,乙烯,4
化学分析,化学分析,4
低血糖,低血糖,6
醇类,醇类,1
乙酸,乙酸,8
乙基,乙基,3
糠醛,糠醛,1
愈创木酚,愈创木酚,1
酸乙酯,酸乙酯,1
吡嗪,吡嗪,2
发酵,发酵,15
高锰酸钾,高锰酸钾,2
蔗糖,蔗糖,9
多元醇,多元醇,1
柠檬酸,柠檬酸,5
乳酸,乳酸,10
硫,硫,10
乙酸乙酯,乙酸乙酯,1
甲基,甲基,2
碳原子数,碳原子数,1
甜味剂,甜味剂,6
粉尘,粉尘,4
大气污染,大气污染,5
PM2.5,PM2.5,3
空气质量,空气质量,3
带电粒子,带电粒子,4
氘,氘,6
核反应堆,核反应堆,8
等离子体,等离子体,9
铌,铌,1
氧化剂,氧化剂,3
导电性,导电性,3
电离层,电离层,5
混合气体,混合气体,2
玻色,玻色,2
狄拉克,狄拉克,8
反粒子,反粒子,1
背景辐射,背景辐射,11
电子对,电子对,2
普朗克,普朗克,10
相互作用力,相互作用力,2
中微子,中微子,3
胶子,胶子,1
核力,核力,2
半导体,半导体,3
弱相互作用,弱相互作用,2
量子数,量子数,1
正电子,正电子,2
复合粒子,复合粒子,1
自由电子,自由电子,1
夸克,夸克,3
强相互作用,强相互作用,3
烯,烯,3
拮抗剂,拮抗剂,1
洛伦茨,洛伦茨,1
培养基,培养基,5
碳糖,碳糖,1
蒸腾作用,蒸腾作用,2
碳酸钙,碳酸钙,2
X射线,X射线,21
磁铁,磁铁,4
三价铁离子,三价铁离子,2
跃迁,跃迁,2
二价,二价,3
量子力学,量子力学,15
二价铁离子,二价铁离子,1
自旋,自旋,9
铁离子,铁离子,1
吸收能量,吸收能量,2
烯醇,烯醇,1
芳香族,芳香族,1
循环过程,循环过程,1
前体,前体,4
有机体,有机体,4
挥发性,挥发性,9
有效能,有效能,2
化学能,化学能,2
太阳能,太阳能,13
吸收的能量,吸收的能量,3
实验步骤,实验步骤,1
气化,气化,4
周期性,周期性,7
金属材料,金属材料,3
最外层,最外层,1
橙皮素,橙皮素,1
黄酮类化合物,黄酮类化合物,2
模型研究,模型研究,4
维生素B6,维生素B6,2
黄酮类,黄酮类,1
维生素B1,维生素B1,2
同位素丰度,同位素丰度,1
碳化,碳化,5
铱,铱,4
释放能量,释放能量,2
铂,铂,2
光谱,光谱,2
镍,镍,5
铑,铑,2
钴,钴,3
冶炼,冶炼,2
氢氧燃料,氢氧燃料,1
重金属,重金属,21
脂溶性维生素,脂溶性维生素,1
乳糖,乳糖,8
酸性,酸性,12
必须脂肪酸,必须脂肪酸,1
